scenario,repetition,seed,fault_onset_step,detected,correct_response,response_latency_steps,completed,terminal_state,recovery_success,appropriate_terminal_response,false_alarm,unsafe_continuation,first_fault_action,replans,reacquisitions,recoveries,stops,failures
joint_limit_violation,17,872718,13,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,18,872819,10,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,19,872920,17,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,20,873021,18,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,21,873122,6,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,22,873223,12,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,23,873324,11,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,24,873425,13,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,25,873526,14,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,26,873627,13,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,27,873728,7,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,28,873829,6,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,29,873930,8,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
recoverable_tracking_error,0,971001,9,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_tracking_error,1,971102,12,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
